key,dish_id,eaten_at,eaten_at_utc_offset,image_id,weight,description,remarks,all_food_items
2ahgvr,364967,2022-05-20T19:18:17Z,120,5b8a0853-ecc4-4015-bc9a-2b50766f873a,6.0,sauce andalouse,,"Sauce andalouse, Pain, Brochette de boeuf, Salade de pâtes, Mergez"
wrah5h,361317,2022-05-09T04:50:13Z,120,c34091b7-c42f-4e93-ae39-bb28aa3b7819,40.0,flocons d'avoine,déjeuner ,"flocons d'avoine, graines de chia, lait d'amande nature , pépites de chocolat , purée de cacahuète , banane "
8japfq,363946,2022-05-16T10:51:31Z,120,b6659a8f-25e7-44f7-a351-7873f60f1586,50.0,oeuf au plat ,,"Ratatouille , Boulgour , Gruyère, Oeuf au plat "
2ahgvr,364189,2022-05-17T09:53:36Z,120,e6a9b184-1bd0-4fe5-a0d9-2962cbf7c29a,40.0,humus maison,"Pois-chiches, tahini, jus de citron, huile d'olive",Humus maison
xjvrtk,365185,2022-05-21T18:20:36Z,120,12babb66-d6e5-4c11-afc5-25290865b2a5,80.0,sardine à la tomate,souper,"betterave rouge cuite, œuf au plat, sauce à salade, sardine à la tomate"
ppf8hc,363906,2022-05-16T08:09:45Z,120,ab73a92d-e2b8-41ed-b24c-9a71a70e004a,30.0,noix de cajou ,"non grillée, non salée ",noix de cajou 
ppf8hc,359891,2022-05-05T07:07:07Z,120,66b9acee-e336-4260-8e14-75bfd6bd7ead,470.0,thé ,,thé 
p96w4a,365397,2022-05-22T17:37:14Z,120,4e021399-8a90-44fe-b06c-0955cd2280f7,27.0,pêche ,,"riz, tomate cerise, pêche , maïs, asperges, thon, haricot rouge, oeuf, sauce à salade"
p8a2w5,358511,2022-05-01T12:22:49Z,120,ae0562ae-9c02-43e0-86e6-4a403128587b,12.0,pain provencales,repas,"fromages (manchego, 2 sortes de Gruyères, raclette), pain provencales"
ppf8hc,364074,2022-05-16T19:03:16Z,120,2833b10a-52c7-409b-ad86-f6147c323f9e,14.0,parmesan ,,"risotto aux asperges , parmesan "
p8a2w5,359055,2022-05-02T19:34:51Z,120,afe7f5f8-85f4-4bf3-beff-1442e7dfbbe7,84.0,légumes (oignon en botte et champignon),repas nouilles,"légumes (oignon en botte et champignon, pâtes, soupe (bouillon de poulet, sauce soja, vinaigre, huile), oeuf"
wrah5h,360126,2022-05-05T17:31:42Z,120,8c36c212-67bf-4a50-b2ec-e4b780749488,52.0,tomate ,souper,"galette wraps, tranche jambon, gruyère râpé , tomate , sauce pesto"
wrah5h,363862,2022-05-16T04:49:49Z,120,c0fb0561-9aaf-42ef-b18e-2677b0c8f7d7,9.0,pépites de chocolat ,déjeuner ,"flocons d'avoine, graines de chia, lait d'amande nature , pépites de chocolat , purée de cacahuète , framboises, myrtilles"
xjvrtk,365141,2022-05-21T15:49:29Z,120,c70f93c3-23cc-4817-bbe9-93091771b273,200.0,tonic au gingembre, verre (j'ai pris la photo de la bouteille vide comme j'ai oublié de la faire avant de boire),tonic au gingembre
p8a2w5,359905,2022-05-05T07:40:50Z,120,4c05ee25-7f4e-4aba-8d89-4b7c5345b4b8,114.0,lait,,"céréales , lait"
xjvrtk,359371,2022-05-03T16:45:06Z,120,1fa390c1-9169-42c0-abbd-3aa6e1a5c90b,100.0,carotte,souper,"concombre, tomate, carotte, graines de courge, huile de lin, vinaigre, sérac"
p96w4a,365402,2022-05-22T17:57:43Z,120,5702b7df-2173-4cf8-a6ac-14bd1ee80afe,206.0,eau,,"eau, eau"
wrah5h,361474,2022-05-09T10:50:30Z,120,6b584efc-e8bb-46a4-8a19-5e1cc53e7527,138.0,pomme,dessert,pomme
p8a2w5,362599,2022-05-12T08:18:00Z,120,a416936b-b0a2-4ec7-97da-21c62ae6d7a0,218.0,eau,,"eau, eau"
p96w4a,361417,2022-05-09T09:01:52Z,120,1be5e2de-f1fe-4789-baf2-13f24ce8ca0a,9.0,confiture abricot ,,"tresse, beurre, confiture abricot "
xjvrtk,361636,2022-05-09T18:00:49Z,120,59e31b5a-2c5c-48e7-b889-58ed408a3a0a,80.0,oignon frais,soir souper,"tomates, oignon frais, huile de lin, moutarde, vinaigre, galettes millet, haricots noirs, maïs"
p8a2w5,364155,2022-05-17T07:17:54Z,120,ac28838e-2a46-49a2-98c8-d5c99aed7da4,78.0,céréales ,,"céréales , lait d'avoine"
xjvrtk,358474,2022-05-01T10:42:55Z,120,42d05c13-cf2c-433e-a2d3-78a67d41cf05,20.0,fromage pâte dure ,midi,"pomme, fromage pâte dure "
p8a2w5,366100,2022-05-26T13:34:00Z,120,8ac29275-d4b1-4944-a03a-38c7f8287e8c,232.0,eau,,"eau , eau, eau, eau, eau, eau, eau, eau, eau, eau, eau, eau , eau , eau, eau"
p96w4a,363884,2022-05-16T06:18:22Z,120,6c6322fb-0b69-44bf-a2d9-5b4eb8f1a043,232.0,café au lait ,,"café au lait , cacao"
6fwmw2,360210,2022-05-05T19:27:10Z,120,4198fd55-f46c-4b22-a0ab-215e7f648628,150.0,thon,Boîte ,"Salade , Avocat , Tomate cerise , Maïs en boîte, Thon"
p96w4a,359467,2022-05-04T04:08:05Z,120,c9db26cc-13d6-4355-97a6-2355ea46cf42,39.0,tartine mélasse + beurre,,"Tartine confiture fraise + beurre, Tartine mélasse + beurre"
p8a2w5,365845,2022-05-25T10:41:22Z,120,23ebd489-c573-4734-9acd-0247f0943fa5,15.0,salade verte,,"salade verte, petit pain grillé "
p8a2w5,364849,2022-05-20T11:00:55Z,120,18685cd7-995e-4bd3-92cc-bbff2c7bcb42,3.0,graines de sésame ,,"riz, légumes (courgette, oignon, 1 CS d'huile d'olive), oeuf, graines de sésame "
p8a2w5,362829,2022-05-12T18:03:34Z,120,82b53493-1c97-472b-9ec6-8cc698b8cfe4,271.0,"dalh de lentilles corail (lentilles corail, oignon, carottes, tomates concassées, 1cs huilde d'olive, épices)",,"riz, dalh de lentilles corail (lentilles corail, oignon, carottes, tomates concassées, 1CS huilde d'olive, épices)"
p96w4a,363194,2022-05-13T18:42:44Z,120,2560a081-c1dd-48cf-aa05-a02ed674827f,157.0,"gratin pates avec thon, petits pois, poivrons et fromage à gratiner",Je n'ai pas cuisiné ce plat. je n'ai pas le détail des poids de chaque ingrédient ,"gratin pates avec thon, petits pois, poivrons et fromage à gratiner"
ppf8hc,361335,2022-05-09T06:10:03Z,120,b3367551-bdba-49c7-bdbb-d616a8ab8b2c,20.0,pâte à tartiner au chocolat ,,"jus d'orange , pain , pâte à tartiner au chocolat "
p96w4a,363786,2022-05-15T18:11:49Z,120,f57e0ec8-3670-4090-ba32-233b99bdb475,41.0,sauce ,,"salade verte , tomate , oignons , croûton , poulet, oeuf, sauce "
p96w4a,364156,2022-05-17T07:20:20Z,120,b0979eb7-5126-4d9e-9058-64093ecde7e0,5.0,beurre,,"pain, beurre, mélasse , pain , beurre, nutella "
p8a2w5,365815,2022-05-25T08:14:31Z,120,f868b1f6-81b3-484e-96bf-327209241f0e,64.0,tomates,,"pain, tomates, huile d'olive, sel"
xjvrtk,358600,2022-05-01T17:19:36Z,120,da3473b4-282c-4045-80b1-194b8fe5cbcb,298.0,café au lait,envie café ,café au lait
p96w4a,363697,2022-05-15T13:10:44Z,120,fab584a3-42d9-4217-a493-ec0d71878e56,80.0,mozarella ,,"mozarella , tomate , salade verte , oignons nouveaux , carotte, graine de tournesol, œuf , huile d'olive , vinaigre balsamique crème , houmous au basilic (acheté)"
ppf8hc,365626,2022-05-24T06:37:38Z,120,e91d6cd3-288e-4e1b-8f24-a92850e02b54,25.0,pâte à tartiner au chocolat ,,"pain, pâte à tartiner au chocolat "
ppf8hc,366635,2022-05-30T17:30:31Z,120,5dfa5302-a2e6-4c74-94fd-8e014ec012bc,11.0,mayonnaise ,,"pâtes , brocolis , poissons panés , mayonnaise "
m4egh2,366356,2022-05-28T19:28:58Z,120,444413a1-c868-455d-8634-7cce2244e9be,249.0,bière grimbergen rouge,,Bière grimbergen rouge
xjvrtk,363933,2022-05-16T10:27:34Z,120,bc9c353c-4fd3-41d7-b5ab-cc73e9587d47,60.0,tronc de brocolis cru,midi,"pois chiches, oeufs au plat, brocolis, carottes, asperges, tronc de brocolis cru, huile d'olive, ciboulette, eau menthe citron"
p8a2w5,358640,2022-05-01T18:43:46Z,120,a80cc37c-4f30-4827-84cd-91a2f89042c2,48.0,pillons de poulet,repas 2eme service,"salade tomate mozzarella concombres , pillons de poulet, pain blanc"
wrah5h,364118,2022-05-17T04:51:43Z,120,2e7b02f3-969a-4269-bf8a-ee2710c121bc,163.0,porridge ,déjeuner,"porridge , framboises , myrtilles , pépites chocolat noir, purée de cacahuète "
p96w4a,360809,2022-05-07T14:18:52Z,120,45298d29-08de-4024-b894-1aad62531254,130.0,jus de pommes ,,jus de pommes 
ppf8hc,366635,2022-05-30T17:30:31Z,120,5dfa5302-a2e6-4c74-94fd-8e014ec012bc,139.0,brocolis ,,"pâtes , brocolis , poissons panés , mayonnaise "
p8a2w5,364941,2022-05-20T15:45:00Z,120,3b030a9f-5375-420f-ab1d-20fe6d201bf4,232.0,eau,,"eau, eau, eau, eau, eau, eau , eau, eau, eau , eau, eau, eau, eau "
p8a2w5,365210,2022-05-21T19:50:57Z,120,9b2c7383-a434-4260-ac30-86103e4546ea,8.0,vinaigrette ,,"artichaut , vinaigrette "
r3bub9,366618,2022-05-30T15:32:14Z,120,ef5d035f-6fc5-4951-aa67-72239a7b5bdf,70.0,croissant au jambon,,croissant au jambon
xjvrtk,359391,2022-05-03T17:10:28Z,120,1e0291cb-b069-4a2b-9381-8db3239b367b,50.0,oeuf dur,souper,"oeuf dur, pomme"
p8a2w5,362996,2022-05-13T10:11:00Z,120,ca7991bc-4cd1-4134-b59e-4abec240c402,259.0,eau,,"eau, eau, eau, eau"
p96w4a,365837,2022-05-25T10:23:58Z,120,5ebafbd6-315d-44a6-8508-ba143d23adb2,3.0,huile d'olive ,,"tomate, mozarella, huile d'olive , vinaigre balsamique , délice tomate mozzarella "
p96w4a,363183,2022-05-13T18:19:20Z,120,fd7babc2-1fff-4ed3-8da6-7850b5ffa9a1,242.0,eau ,,"eau , eau"
p8a2w5,364155,2022-05-17T07:17:54Z,120,ac28838e-2a46-49a2-98c8-d5c99aed7da4,90.0,lait d'avoine,,"céréales , lait d'avoine"
xjvrtk,358669,2022-05-01T21:07:31Z,120,ce668b40-a61f-4ac1-abfd-a150071ddd76,20.0,vinaigre balsamique,salade soir,"salade de tomates , huile d'olive, vinaigre balsamique, graines de lin"
xjvrtk,364420,2022-05-18T09:51:02Z,120,f0284a02-724e-4310-940d-e0fdd9893c70,120.0,ananas,midi,"brocolis, concombre, ananas, tomate, huile d'olive, vinaigre, graines de courge"
xjvrtk,358466,2022-05-01T10:27:25Z,120,f607625b-a07d-423e-a564-4d96ebadf084,250.0,tarte flambée pomme rhubarbe,midi,tarte flambée pomme rhubarbe
6fwmw2,365668,2022-05-24T10:10:36Z,120,a2a7a39e-6053-4f38-806d-2bfed94b37c0,116.0,semoule ,,"Œufs au plat, Brocoli , Semoule "
ppf8hc,365079,2022-05-21T11:16:49Z,120,2d798449-e3c7-4b6e-9f74-d788f51b5ce7,33.0,comcombre,,"salade verte , oeufs , comcombre, maréchal "
p96w4a,360171,2022-05-05T18:14:00Z,120,11b1171d-d1e7-414e-a0d4-38d6224254e6,200.0,eau,,"eau, eau, eau, eau"
wrah5h,365554,2022-05-23T17:51:34Z,120,df169d57-7daa-4fa4-b2f7-33365a99af37,14.0,fromage râpé ,souper,"tortelloni ricotta et épinards , épinards à la crème , fromage râpé "
xjvrtk,364646,2022-05-19T11:06:49Z,120,02911570-1e99-4b2c-9ad0-469321a8a342,257.0,aubergine au four ,midi,"épautre cuit, oeufs brouillés, aubergine au four "
xjvrtk,364048,2022-05-16T17:27:04Z,120,f490015b-1246-4f64-b1f7-b1f486e3fe67,30.0,salade,soir,"risotto au safran, salade, parmesan"
p96w4a,365397,2022-05-22T17:37:14Z,120,4e021399-8a90-44fe-b06c-0955cd2280f7,23.0,maïs,,"riz, tomate cerise, pêche , maïs, asperges, thon, haricot rouge, oeuf, sauce à salade"
6fwmw2,361456,2022-05-09T10:38:18Z,120,1ddcaacb-fd1a-4ee3-a08b-a3721350d9a9,146.0,mélange de légumes ,"Courgette, poivron","Fajitas galette , Brochette de poulet façon thaï , Mélange de légumes "
p96w4a,365922,2022-05-25T18:45:17Z,120,24ae4408-8d2a-4a40-bf57-43efa13a74c4,230.0,eau,,eau
ppf8hc,359944,2022-05-05T09:53:16Z,120,e8b225c0-ce21-4bb4-8fe3-bd745d08045b,103.0,compote de pomme ,pesée avec l'emballage ,compote de pomme 
p96w4a,360123,2022-05-05T17:16:12Z,120,9439079d-08f8-47d2-b42b-e67d1e2907f7,18.0,asperges en décoration ,,"Flan aux asperges , asperges en décoration "
8japfq,363355,2022-05-14T10:57:34Z,120,0bd218b2-a4c6-4605-8737-2055d3040f25,45.0,pain aux noix,,"Fraises, Brioche au chocolat, Pain aux noix, Olives à l'huile, Hummous , Cottage cheese aux herbes, St-félicien , Tomates rôties , Oeuf au plat "
ppf8hc,359256,2022-05-03T11:17:48Z,120,13ca38ef-bc31-407e-af5e-6d61f4317367,24.0,branches de chocolat au lait ,,branches de chocolat au lait 
ppf8hc,364972,2022-05-20T19:48:27Z,120,7e81c5ce-4e03-49fb-93d4-0aca33571c65,80.0,filet de canard ,,"filet de canard , saucisse , salade de carottes , salade de pâtes "
p8a2w5,358978,2022-05-02T16:59:24Z,120,68c48786-98a2-4f27-9007-24d28921d1b1,52.0,chips,,chips
6fwmw2,359921,2022-05-05T08:26:10Z,120,f8cf7e83-ab09-4d49-823b-72e247e390f4,20.0,jus de citron ,,"Eau chaude, Jus de citron "
xjvrtk,361636,2022-05-09T18:00:49Z,120,59e31b5a-2c5c-48e7-b889-58ed408a3a0a,7.0,huile de lin,soir souper,"tomates, oignon frais, huile de lin, moutarde, vinaigre, galettes millet, haricots noirs, maïs"
xjvrtk,359276,2022-05-03T12:27:15Z,120,d8aaea52-09df-4596-892c-0d03f5b6b9cd,8.0,huile de lin,midi,"boulgour, ratatouille, œuf dur, huile de lin"
p8a2w5,365887,2022-05-25T14:47:39Z,120,70f588a4-d721-46c4-8289-13adaeac86cd,227.0,cocktail hugo,,cocktail hugo
p8a2w5,365570,2022-05-21T14:45:00Z,120,3b030a9f-5375-420f-ab1d-20fe6d201bf4,232.0,eau,,"eau, eau, eau, eau, eau, eau , eau, eau, eau , eau, eau, eau, eau "
p96w4a,361056,2022-05-08T10:26:00Z,120,df716541-77d9-493f-a69b-8cf20719be25,3.0,cacao,brunch,"café au lait, cacao, café au lait, cacao"
p96w4a,364306,2022-05-17T17:28:56Z,120,0513b8db-8592-4ef7-aacf-c117d4030b25,73.0,asperges,,"pommes de terre, asperges, mayonnaise , jambon cru"
wrah5h,359394,2022-05-03T17:22:40Z,120,ceb176a9-3e1f-48fe-a4ac-1ab12637221f,56.0,porc,souper,"polenta , aubergine grillée, porc"
p96w4a,361639,2022-05-09T18:05:58Z,120,1d959fbd-77c5-41db-818a-806ffb0e2752,7.0,gruyère ,,Gruyère 
p8a2w5,366011,2022-05-26T12:06:00Z,120,4a490097-e5f7-42a3-8928-9bdd835d4d17,231.0,lait dans café,,"café, lait, café froid, lait dans café"
8japfq,363658,2022-05-15T11:22:32Z,120,86ceb725-f8aa-4f49-a72d-d44fb229ea99,60.0,café,,Café
p8a2w5,365936,2022-05-25T19:19:15Z,120,abad1443-f704-4eb9-9657-7a67252ff801,136.0,sauce bolognese ,,"pâtes , sauce bolognese , fromage"
p96w4a,363697,2022-05-15T13:10:44Z,120,fab584a3-42d9-4217-a493-ec0d71878e56,30.0,carotte,,"mozarella , tomate , salade verte , oignons nouveaux , carotte, graine de tournesol, œuf , huile d'olive , vinaigre balsamique crème , houmous au basilic (acheté)"
wrah5h,364284,2022-05-17T16:15:21Z,120,fcf4b7f7-6426-46b7-94d2-af87390ce037,16.0,olives,collation,"tomates cerises , olives"
ppf8hc,365803,2022-05-25T06:12:06Z,120,f697ce48-4742-4e58-a44b-67e563c6653a,22.0,pâte à tartiner au chocolat ,,"gâche , pâte à tartiner au chocolat , jus d'orange "
wrah5h,364277,2022-05-17T15:32:52Z,120,8487ef93-2680-471e-986f-692657cd360f,175.0,poire,collation,poire
p8a2w5,364344,2022-05-17T20:28:28Z,120,c03e9bce-c9d5-45d6-ae2b-3e5d25ff8129,51.0,houmous ,,"légumes (radis et carottes), pain aux graines, houmous "
ppf8hc,365696,2022-05-24T12:16:37Z,120,8155f43d-34a0-4b8f-b57c-9c17b005eacb,276.0,thé ,,thé 
p8a2w5,366086,2022-05-26T20:52:15Z,120,3fefa20e-b790-4f47-8706-3fb833540eb5,48.0,mousse au chocolat,,mousse au chocolat
wrah5h,364118,2022-05-17T04:51:43Z,120,2e7b02f3-969a-4269-bf8a-ee2710c121bc,24.0,myrtilles ,déjeuner,"porridge , framboises , myrtilles , pépites chocolat noir, purée de cacahuète "
6fwmw2,365668,2022-05-24T10:10:36Z,120,a2a7a39e-6053-4f38-806d-2bfed94b37c0,122.0,brocoli ,,"Œufs au plat, Brocoli , Semoule "
8japfq,358483,2022-05-01T11:06:00Z,120,2a854c3d-0ba9-4c3f-b22c-630cbe2d37cd,57.0,gâteau au chocolat,,"Fraises , Gâteau au chocolat"
p96w4a,361163,2022-05-08T15:46:54Z,120,eb2c9033-9784-4cf3-8cf9-159f8bfefd19,77.0,cake maison,,"cake maison, pomme"
p8a2w5,359894,2022-05-05T07:12:57Z,120,03210130-04f7-45e1-babd-2c0693093101,177.0,lait dans le café,,"café , lait dans le café"
wrah5h,361208,2022-05-08T17:26:11Z,120,bd7799bb-241d-4652-8129-fbaf9bb88d41,149.0,pizza aux épinards ,souper,pizza aux épinards 
ppf8hc,362024,2022-05-10T18:55:32Z,120,bf22a1b3-a8b6-4823-a44b-0893c3097763,27.0,gruyère ,,"pates, boulettes au légumes à la sauce tomate , gruyère "
ppf8hc,364074,2022-05-16T19:03:16Z,120,2833b10a-52c7-409b-ad86-f6147c323f9e,210.0,risotto aux asperges ,,"risotto aux asperges , parmesan "
wrah5h,358421,2022-05-01T08:43:05Z,120,d73cd6ee-bf84-428a-a927-a802d8037218,8.0,pâte à tartiner au chocolat,déjeuner,"pancake, pâte à tartiner au chocolat"
ppf8hc,366462,2022-05-29T17:25:48Z,120,bfd79fcd-95ad-4e79-86c2-b3ea477a9d81,21.0,gressins sésame ,,"gressins sésame , gressins sésame "
