key,description,weight,predicted_weight,absolute_error,weighed_absolute_error,url,reasoning
xjvrtk,tomates cerises,250.0,504,254.0,6.966538672517828,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/bb067d1c-3012-4e32-8c8b-b88b19e591c5,"The bowl contains cherry tomatoes, which are oval-shaped and densely packed. Based on the size of the bowl and the visible quantity, there are approximately 25-30 cherry tomatoes. Each cherry tomato typically weighs around 15-20 grams. Assuming an average weight of 18 grams per tomato and estimating 28 tomatoes, the total weight is approximately 504 grams."
2ahgvr,porridge,46.0,250,204.0,1.0295117937465716,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/b8540d8b-d377-4484-abcd-0071bf431d0d,"The porridge is visible in the bowl, filling most of its volume. The bowl appears medium-sized, and the porridge has a dense, creamy texture, suggesting it is made with oats and liquid (likely milk or water). Based on the bowl's size and the porridge's level, I estimate the portion to be approximately 250 grams."
2ahgvr,colrave crue,118.0,250,132.0,1.7088315962698848,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/3718d88c-ba98-4da1-84dc-7d5ad0a4df92,"The image shows raw kohlrabi (colrave crue) cut into medium-sized slices and placed on a plastic tray. The slices are relatively thick and appear to be densely packed. Based on the size and volume of the slices, I estimate the total weight to be approximately 250 grams, considering the density of raw kohlrabi."
r3bub9,tomates,47.0,130,83.0,0.4279758639605047,https://www.myfoodrepo.org/api/v1/subjects/r3bub9/dish_media/6f0647af-ce31-45ac-abc9-d335ba8bcd5e,"The tomatoes are located on the right side of the plate, sliced into approximately five medium-sized pieces. Based on their size and thickness, they appear to be from a medium tomato. A medium tomato typically weighs around 120–150 grams. Considering the slices shown, I estimate the total weight of the tomatoes to be approximately 130 grams."
p8a2w5,ratatouille,232.0,150,82.0,2.087109160724081,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/4f96d4f3-ccf5-48a1-bc78-4d09451b3545,"The ratatouille is located on the right side of the plate. It consists of a mix of vegetables, including tomatoes, zucchini, and eggplant, cooked in a sauce. The portion appears to be a medium-sized serving, occupying about one-third of the plate. Considering the density of cooked vegetables and the visible volume, I estimate the weight of the ratatouille to be approximately 150 grams."
wrah5h,quinoa,152.0,80,72.0,1.2006582556226002,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/712f4686-2c54-47d3-a8f2-811e15f6e76b,"The quinoa is located on the right side of the container, occupying approximately one-fourth of the total space. It appears to be cooked and fluffed, with a mix of white and red grains. Considering the volume and density of cooked quinoa, I estimate the weight to be around 80 grams."
wrah5h,cappuccino,129.0,200,71.0,1.0048272078990674,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/e397f3b3-e80f-420f-b14e-924a4adcdf12,"The cappuccino is served in a standard-sized ceramic cup, which appears to be filled close to the top. A typical cappuccino consists of espresso, steamed milk, and milk foam, with a light dusting of cocoa powder on top. Based on the cup size and the visible fullness, the liquid and foam content is estimated to weigh approximately 200 grams."
p8a2w5,dahl de lentille,180.0,250,70.0,1.3823368074602305,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/2b1f4950-0235-432d-ae08-7210d431d3c1,"The dahl de lentille is visible in the bowl, consisting of red lentils and vegetables like carrots in a tomato-based sauce. The bowl is partially filled, with the contents occupying about half of its volume. Considering the density of cooked lentils and the visible portion size, I estimate the weight of the dahl de lentille to be approximately 250 grams."
wrah5h,porc,52.0,120,68.0,0.38793198025233133,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/f727ac79-973e-4b92-8f2b-cda94222d4a7,"The pork is located in the bottom left section of the container, partially covered with the white sauce. It appears to be a single piece of cooked pork, with a moderate thickness and size. Based on its visible dimensions and density, I estimate the weight of the pork to be approximately 120 grams."
wrah5h,gaufre à la patate douce,85.0,150,65.0,0.6061437191442677,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/1876b0b6-568d-4583-8186-073df252e6c9,"The sweet potato waffle is divided into four pieces on the plate, with toppings such as sauce, smoked salmon, and dill. The waffle itself appears to be thick and dense, typical of sweet potato waffles. Based on the size of the pieces and the density of the waffle, I estimate the total weight of the waffle (excluding toppings) to be approximately 150 grams."
