description,weight,predicted_weight_file1,predicted_weight_file2,best,url_file1
houmous au basilic (acheté),34.0,55,110.0,file1,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/fab584a3-42d9-4217-a493-ec0d71878e56 
tonic au gingembre,200.0,220,20.0,file1,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/c70f93c3-23cc-4817-bbe9-93091771b273 
sauce salade,5.0,25,30.0,file1,https://www.myfoodrepo.org/api/v1/subjects/m4egh2/dish_media/7ff5fe61-b9cd-45c6-8df8-44a690a86b0c 
fromage de chèvre frais à la figue,14.0,30,35.0,file1,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/a11463a4-ab51-4b83-a55f-d4edfb527b13 
tarte aux fraises,164.0,180,95.0,file1,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/7b64b358-b611-4155-8e79-6f3ce5b4f11a 
gorgonzola,40.0,55,60.0,file1,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/3cd99914-215e-449e-91bf-df5d8df2a5f6 
pomme,115.0,130,150.0,file1,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/aa2df550-5243-4537-ad8b-9d79fc7007b4 
kiwi,62.0,75,45.0,file1,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/86da771f-1d27-4626-b23c-0274d35df787 
poivrons jaune,150.0,150,70.0,file1,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/95e84def-c82b-4360-8390-f5153ff61064 
pain,97.0,85,60.0,file1,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/104945fb-5bd2-431c-a232-fc8d6146ac8d 
pain au céréales,94.0,105,45.0,file1,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/23166ad4-f303-46da-ab59-6d3b8943e904 
œuf,38.0,48,50.0,file1,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/273d9044-6fbe-4ba8-948d-3ce80f7976f0 
sauce,60.0,50,100.0,file1,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/828972fc-fa12-4270-a960-fc59367fc91e 
lard,30.0,40,50.0,file1,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/ff6e3f38-43e0-4b06-8a58-63fa5b77ccc8 
yogourt vanille,172.0,180,140.0,file1,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/337ec001-6209-48a3-ab06-cbf3ac51ca9c 
asperges,122.0,130,140.0,file1,https://www.myfoodrepo.org/api/v1/subjects/m4egh2/dish_media/1433b4f9-85ec-4321-944a-d971fef9b19d 
chocolat noir,18.0,10,8.0,file1,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/1f280cd7-2448-47d9-a198-235eb8d19e29 
œuf au plat,83.0,95,100.0,file1,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/12babb66-d6e5-4c11-afc5-25290865b2a5 
steak végétarien et sauce aux oignons,153.0,160,145.0,file1,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/5540e99f-84bd-4971-a7b2-caab6b4282bb 
yogourt à la cerise,171.0,150,130.0,file1,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/0ca82ce9-fdff-42cb-bb19-4bfd8d280feb 
pomme de terre duchesse,97.0,120,125.0,file1,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/ddb88e9f-bf1c-4010-9d5a-1181e9cbe810 
nectarine,108.0,145,160.0,file1,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/e0477112-b06c-49d6-b9c8-d0a2da930ee7 
kiwi,121.0,85,80.0,file1,https://www.myfoodrepo.org/api/v1/subjects/r3bub9/dish_media/6da3acd7-23d1-4c66-baf1-93c7fc41087d 
quinoa et boulgour au curry,236.0,200,145.0,file1,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/95e84def-c82b-4360-8390-f5153ff61064 
kiwi,120.0,85,80.0,file1,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/7d1aaf24-b020-4315-aa15-db38f40e72be 
pain aux fruits,99.0,65,30.0,file1,https://www.myfoodrepo.org/api/v1/subjects/8japfq/dish_media/63d7962e-f953-4987-96fb-2f843d8a12d1 
sandwich jambon,116.0,150,160.0,file1,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/7258b52f-5aff-4a96-9e46-08cccb80fa0b 
cottage cheese aux herbes,37.0,70,80.0,file1,https://www.myfoodrepo.org/api/v1/subjects/8japfq/dish_media/0bd218b2-a4c6-4605-8737-2055d3040f25 
poivrons,43.0,65,85.0,file1,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/f3337fd9-3578-4c7f-9384-bd7ee642348b 
yogourt chocolat,176.0,145,130.0,file1,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/a52672d9-9e62-4a28-8952-792840f894b6 
croissant au fromage frais,81.0,50,35.0,file1,https://www.myfoodrepo.org/api/v1/subjects/r3bub9/dish_media/2330c992-3298-44c3-90c9-1d04e574f1ab 
fraises avec sucre,169.0,140,65.0,file1,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/2552a096-42ab-4f6b-a34f-8f011d1ec91e 
salade de céleri,49.0,75,120.0,file1,https://www.myfoodrepo.org/api/v1/subjects/6fwmw2/dish_media/1a96e805-fc15-4295-90a7-73a41fcb683f 
